영화댓글
"이세상의 모든 상처 받은 사람을 위한, 영화"
역시 좋은 영화는 언제 봐도 좋다 명불허전 명작중에 명작.
진짜 감동적인 영화... 이 영화의 각본을 맷 데이먼과 벤 에플랙이 썼다는 것도 더 대단함.. 진짜 명작 ㅠㅠ
이 영화를 완벽하게 느끼기엔 어린거 같지만 이정도의 감동만 느꼈어도 만족한다 성인이 된 후 다시보고 싶은 영화
ㅇㅇㅇ야야ㅑ야야야야ㅑ야야ㅑ야양
its not your fault 같이 위로받았어요ㅎㅎ 좋은영화네요
완벽한 재료. 최고의 셰프.
너의 잘못이 아니야 너의 잘못이 아니야 너의 잘못이 아니야 고마워요 선생님
인생영화입니다.여러번 보아야 보이는 것들도 많아요.
Not your fault..
윌이 왜 그러했는지 이해해보려고 했는가?
재밌네여 근데 조금 부족해요
It's not your fault...
"볼때마다 새롭고 무언가를 깨닫는다는 영화가 아닌, 나에게는 정말이지 윌 헌팅의 모습의 대부분이 항상 느끼던 나의 모습과 유사하고 일치하는 것 같아서 소름이 돋았다. 20살인 내가 느끼는 감정이 윌 헌팅이 느끼는 감정과 같았고 의심을 많이해서 매사 부정적이라는 표현 또한 들었던 나는 그 감정이 든 이후로 계속 영화를 뜬 눈으로 지켜볼 수 밖에 없었다. 이제 잠이 들 시간이다. 마지막으로 느낀 감정은 윌 헌팅처럼 무언가를 극복하고자 하는 영감을 받기보다는 그저 그는 그를 지켜주고 그리워해 줄 친구들이 있는 게 부러웠다. 나는 어떤 행동을 함에 있어서 주저하는 점은 없지만 친구를 사귈 때는 그런 점이 컸다. 이제는 그저 방어기제로 누군가를 판단하거나 믿지 않는 것이 아닌 어깨에 기댈 수 있는 친구 한 명정도는 사귈 수 있었으면 하는 생각이 드는 밤이다. 이 영화 저에게는 정말 유익했습니다. 다른 분들도 윌이 아니더라도 본인을 다른 극 중 인물로 대변하여 말을 해줄 수 있는 배우 등을 찾아서 많은 영화 보시길 바랍니다!!"
""
재밌다 !재밌다 !재밌다 !
인생영화 리스트에 추가되엇슴니당 .. it's not your fault 대사에 오열했네요 ㅠㅠ 많은 생각을 하게해주는 영화였습니다
정말 감동적인 영화 입니다 ㅠㅠ
띵작입니다넘 재미있게 봤어여
몇권의 책보다 영화 한편이 줄 수 있는 깨달음의 극치
100점 별다섯개 별여섯개 별도백개!!
최고의 영화...ㅠ
""
친구도 교수님도 다들 멋져요..너무 감동 ㅜㅜ
진짜 최고의 영화ㅠㅠ 재밌다는 느낌 그 이상…
천재가 아니라 그저 남자 아이로 봤던 선생님의 시선이 너무 좋았어요
"재능에 대해서 생각해 보게 되고, 하나를 보고 전체를 일반화하면 안 된다, 사람은 완벽하지 않다 등 여러 인생 철학을 잘 반영한 영화. 윌이 열차에서 창 밖을 보거나 옷이 셔츠로 바뀌는 변화가 인상적이었음."
""
감동적이고 재밌음...
"감동적인 포인트: 주인공을 있는 그대로 믿어주는 사람들...하 학교에서 보다가 울었다,,,, 잇츠낫유어풜트,,,"
""
이런걸 이제야 봤다는게 후회된다
몇번을 봐도 질리지 않음
영화의 찐 간지는 스토리를 맷데이먼이랑 벤에플렉이 직접 썼다는거...
윌 헌팅 맛집 마순 있네예ㅋ
갬동입니다 눈물줄줄...
내 인생 최고의 영화 중 하나
이런 명작을 이제야 보게되었네요
